n.id,numberOfConnectedEdges
"""C4orf19""",289
"""UBAP2""",1044
"""TSPAN7""",175
"""TSPY2""",112
"""CEACAM7""",321
"""TAF1C""",1220
"""TRDJ4""",16
"""IGHV3-38""",158
"""LIN7B""",294
"""ZNF202""",535
"""LAMA2""",3287
"""BCL2""",262
"""TPTE2P1""",4
"""ZNF804A""",1456
"""CRIPT""",100
"""NDUFAF4P1""",1
"""MIR6088""",1
"""LINC01338""",1
"""CDH23""",3745
"""LINC00261""",1
"""C12orf50""",451
"""RPL19P12""",1
"""KIF5C""",707
"""SNHG20""",1
"""GADD45GIP1""",247
"""LOXL1-AS1""",5
"""ADAM6""",1
"""LMO3""",189
"""SOX14""",220
"""SMARCD2""",439
"""KDM2A""",662
"""IL23A""",135
"""MIR3648-2""",1
"""AMZ1""",922
"""SERPINA12""",513
"""HADHB""",460
"""LIPJ""",344
"""SINHCAF""",161
"""MIR591""",1
"""CDC123""",268
"""NOX3""",634
"""LINC00308""",2
"""NDUFC1""",99
"""MIR8072""",1
"""SNX13""",827
"""LINC00222""",1
"""FAM197Y5""",1
"""TRARG1""",226
"""IGHV1-69D""",120
"""ELP5""",427
"""MACF1""",6538
"""TGM7""",754
"""DDX49""",535
"""MIR3149""",1
"""NPC2""",290
"""ZNF658""",1137
"""HMSD""",149
"""LINC00673""",5
"""AGO4""",537
"""AFDN-DT""",4
"""CEP250-AS1""",3
"""GMCL2""",423
"""ZNF788P""",10
"""FAM156B""",53
"""LINC01717""",1
"""MARCHF4""",402
"""CABIN1""",1896
"""ARL11""",217
"""RBFADN""",1
"""ODF3B""",385
"""ODF2L""",665
"""SCN1A""",2651
"""ANKRD54""",367
"""RARG""",405
"""NIBAN1""",934
"""C5orf34-AS1""",2
"""PTPRD-AS2""",1
"""MIR4758""",1
"""LINC00467""",1
"""TBX21""",451
"""LSM14B""",426
"""LINC02401""",1
"""OTULIN-DT""",2
"""RNF213-AS1""",1
"""H1-9P""",3
"""RNPEP""",609
"""PTTG1IP""",294
"""FAM205C""",161
"""C1orf52""",214
"""P2RY11""",503
"""OR2C1""",361
"""EBP""",151
"""NPTXR""",440
"""TMEM30B""",369
"""ABCF2""",423
"""ATG4A""",238
"""CHMP3""",195
"""DLGAP1-AS2""",1
"""PCDHGC5""",887
"""TTLL5""",1275
"""TRAJ4""",16
"""RFX8""",504
"""GVQW3""",349
"""TAS2R19""",368
"""ANKS1B""",1179
"""C9orf24""",119
"""BAGE""",3
"""OGT""",349
"""RPL23AP82""",2
"""TRAV24""",143
"""ISOC2""",253
"""LINC01460""",1
"""TOP1P2""",1
"""SNHG18""",1
"""API5""",368
"""RBMY1A1""",45
"""ROBO2""",1634
"""ANKRD16""",367
"""TARDBP""",320
"""LUZP2""",402
"""MUC12-AS1""",2
"""PLCB1-IT1""",1
"""CELA2B""",320
"""LILRB2""",871
"""PRSS16""",516
"""C22orf46""",2
"""ATP2B1""",726
"""TINAGL1""",445
"""LINC02875""",2
"""COX6A2""",122
"""RBM14""",578
"""LINC01632""",9
"""IRF2""",356
"""LINC01601""",1
"""LIVAR""",1
"""USP17L17""",240
"""ARMCX1""",244
"""GMPS""",486
"""RAN""",152
"""PIP4P2""",244
"""DGKK""",903
"""ZC3H12A""",577
"""LINC02637""",2
"""POFUT1""",366
"""CASR""",1100
"""MIR3976HG""",1
"""ACP3""",440
"""FAM163A""",234
"""GSTT2""",108
"""MANEA-DT""",2
"""SSBP4""",602
"""TMEM184A""",516
"""FOXB1""",294
"""DPY19L4""",675
"""DNM1P34""",1
"""LINC02433""",1
"""RBM48""",383
"""NAT8L""",213
"""BMS1P14""",2
"""MFSD5""",467
"""OOSP1""",151
"""C1orf167""",1511
"""FAM246C""",1
"""MIR513C""",1
"""MIR3615""",1
"""PI4K2B""",395
"""GANAB""",813
"""LRRC10B""",233
"""C18orf12""",3
"""NDRG2""",563
"""PDCL3P4""",1
"""GFER""",256
"""SNORD114-24""",1
"""ADH1C""",377
"""LINC02415""",1
"""STMN4""",247
"""LINC01761""",1
"""NT5C2""",497
"""TRMT1L""",553
"""DCBLD2""",715
"""MIR489""",1
"""TSR1""",788
"""LINC02310""",1
"""SEC22B4P""",1
"""ETS1""",386
"""LINC01998""",1
"""SCG5-AS1""",1
"""SLC41A3""",615
"""NEBL""",1340
"""LRFN4""",682
"""FABP7""",164
"""MIR323A""",1
"""OR4C15""",707
"""LINC02345""",1
"""CIAPIN1""",267
"""C11orf58""",104
"""CTCF-DT""",1
"""C8orf17""",1
"""N4BP2L2""",1257
"""TMEFF1""",315
"""MMAA""",368
"""PRIM2""",407
"""ANXA5""",291
"""PFKP""",987
"""KCNJ15""",353
"""MIR10A""",1
"""COLCA2""",256
"""KLRF1""",237
"""DRD5""",658
"""PCA3""",3
"""SLC6A3""",508
"""MIR6070""",1
"""LINC01093""",3
"""NKX2-3""",354
"""MIR548AK""",1
"""MOV10""",754
"""NDUFB9""",315
"""PANK3""",236
"""MST1""",878
"""BEND2""",596
"""SLC32A1""",432
"""STK33""",587
"""RRAS2""",172
"""LINC01099""",2
"""DRD2""",391
"""AHSA1""",278
"""TRNT1""",574
"""ZFP36""",368
"""BMPR1B-DT""",1
"""CDPF1""",175
"""SLC6A12""",561
"""NECTIN4""",489
"""SLAIN1""",539
"""JPH1""",663
"""SYT6""",587
"""DNAI2""",745
"""MIR6753""",1
"""MAGEC3""",830
"""KARS1""",734
"""TCL1A""",176
"""CILP2""",1331
"""EBLN2""",301
"""MIR744""",1
"""CFC1""",238
"""DNAAF9""",12
"""B3GALT4""",317
"""RPLP0P6""",1
"""FARS2""",472
"""CYB5D1""",234
"""LINC01484""",1
"""TNFAIP8L3""",269
"""MCUR1""",425
"""LINC01147""",1
"""TMEM200A""",542
"""NTNG2""",535
"""PSMD2""",653
"""LINC01022""",1
"""LINC01614""",1
"""MIR3664""",1
"""SNORD13B-1""",1
"""SNX12""",83
"""ADORA2B""",323
"""FAM72B""",158
"""EDF1""",143
"""GRAP2""",325
"""SLC2A4""",546
"""PIK3CD-AS1""",2
"""RALGDS""",939
"""COQ7""",308
"""SDC4P""",1
"""FZD4""",463
"""MED18""",168
"""IFT22""",171
"""LINC02731""",1
"""EEF2KMT""",501
"""PHKA1""",832
"""OR11H7""",2
"""MIR12129""",1
"""SNORD13G""",1
"""COQ8B""",627
"""KRTAP5-AS1""",1
"""MAP6D1""",233
"""SNORA22""",1
"""GARNL3""",846
"""IGKV2D-40""",123
"""MON1B""",604
"""APOA2""",188
"""ANKRD24""",1432
"""MAP3K12""",632
"""B3GNT7""",374
"""MAP4K1-AS1""",1
"""PLA2G10""",84
"""HOXB5""",271
"""ATP6V1B1""",573
"""MIR1279""",1
"""SGPL1""",451
"""RBMY1J""",43
"""TRAJ61""",25
"""TMEM165""",290
"""ZDHHC22""",252
"""SNHG16""",4
"""DDX11L3""",1
"""PRAMENP""",1
"""ANAPC4""",551
"""CCNG2""",280
"""LINC02065""",1
"""KMT5B""",718
"""SMAD2""",310
"""CCL27""",102
"""FAM25BP""",1
"""JAK2""",998
"""SHOC1""",1259
"""LINC02297""",1
"""KCNK7""",364
"""PRRX2-AS1""",1
"""DIAPH1""",1073
"""SIK2""",665
"""GPR32P1""",1
"""ARFGAP3""",475
"""GDPGP1""",387
"""PMIS2""",85
"""FAM83H""",1660
"""IGHV1-2""",520
"""ECE1-AS1""",1
"""MIR632""",1
"""MIER2""",600
"""MAGI3""",1174
"""ATF6""",594
"""FASTKD1""",760
"""BAD""",349
"""ARL5C""",155
"""NRSN2-AS1""",1
"""VAMP5""",118
"""SOWAHD""",247
"""ZSCAN5DP""",1
"""LINC01074""",1
"""OR2L13""",395
"""OBP2B""",279
"""MIR3938""",1
"""SP4""",736
"""SH3BGRL""",83
"""PCDHB6""",1056
"""LINC02053""",1
"""PCDHB19P""",1
"""STAT5A""",553
"""COQ10B""",202
"""RANBP17""",1178
"""CHRDL2""",547
"""RO60""",489
"""CASP9""",480
"""NUCB1""",478
"""MIR6762""",1
"""NT5C1B""",753
"""TPRX1""",552
"""OR1M1""",388
"""TRAV10""",128
"""LINC01703""",1
"""SNORD68""",1
"""PGR-AS1""",1
"""GAB4""",772
"""CTPS1""",363
"""OCIAD1-AS1""",1
"""C8orf86""",4
"""ARHGAP29-AS1""",8
"""PATE2""",123
"""MIR515-1""",1
"""CATIP""",396
"""LINC02610""",2
"""SLC1A2-AS1""",1
"""MIR4509-3""",1
"""CPS1""",1509
"""LINC01280""",1
"""PRAMEF22""",3
"""ZNF223""",482
"""ESRG""",2
"""RIC8A""",657
"""CNIH3-AS2""",3
"""OXA1L""",574
"""LINC01031""",1
"""TEX28P2""",2
"""MSH4""",893
"""LMNTD2-AS1""",2
"""ANKRA2""",248
"""YWHAE""",140
"""GSN-AS1""",2
"""KLHDC2""",332
"""MEG8""",1
"""CD83""",222
"""SPDYE1""",425
"""USP17L24""",3
"""LINC01357""",2
"""SNORD114-20""",1
"""STAR""",345
"""LINC01667""",1
"""HMGXB3""",1013
"""WAC-AS1""",1
"""RTF2""",286
"""RBP1""",240
"""CLIP2""",963
"""NAMA""",2
"""GPR108""",640
"""TKTL2""",737
"""METTL14""",334
"""MPZL3""",285
"""GCOM1""",720
"""RBL1""",921
"""E2F4""",409
"""ASPH""",1051
"""LINC02736""",1
"""KDM5A""",1295
"""KCNS1""",510
"""RSL1D1""",601
"""MIR10392""",1
"""TRH""",286
"""SNORD16""",1
"""OFCC1""",8
"""SSU72P5""",112
"""ARHGDIG""",246
"""DGKE""",560
"""VPS35L""",1122
"""ZSCAN10""",955
"""YBX1""",472
"""SORCS3-AS1""",1
"""MTMR14""",739
"""MIR4526""",1
"""RAB17""",320
"""MED13L""",1649
"""MMRN1""",1305
"""C4orf36""",157
"""ZNF749""",729
"""STX2""",364
"""LETR1""",1
"""GLI4""",637
"""CACNB2""",1035
"""CLEC2D""",270
"""HECTD2""",458
"""LINC02811""",2
"""TMEM250""",153
"""LINC02905""",1
"""ADPRH""",362
"""FAM171A2""",559
"""PAFAH1B3""",231
"""FGFR2""",937
"""GRAMD1A""",800
"""SLC39A6""",605
"""LINC01341""",1
"""MIR1262""",1
"""TMBIM4""",276
"""TULP4""",1404
"""ANKRD61""",342
"""POF1B""",483
"""RAB3D""",211
"""NEUROG3""",280
"""SIAH1""",154
"""MIR199A1""",1
"""TBC1D15""",664
"""LINC00502""",1
"""RNA5-8SN2""",1
"""ARHGAP39""",1082
"""COMMD4""",293
"""FAM53B""",380
"""DPYD""",1144
"""HNRNPK""",259
"""SYT9""",483
"""IGKV3D-20""",190
"""MRPL38""",399
"""GSTM1""",168
"""ADH4""",419
"""DHRS11""",232
"""HIVEP3""",1957
"""ACTL10""",416
"""SNORD161""",1
"""PIGP""",177
"""AK1""",229
"""TMEM198B""",4
"""MIR3126""",1
"""SLFN11""",972
"""BRPF3""",968
"""TPI1""",320
"""TAF6""",682
"""MBD5""",1580
"""SDSL""",363
"""SEMA7A""",567
"""MIR6873""",1
"""STK10""",956
"""DCK""",275
"""IL25""",212
"""KRT73""",615
"""PCDHGA11""",939
"""WBP1""",400
"""CT47A4""",5
"""TLR4""",927
"""LINC02832""",1
"""ATF6B""",593
"""COA5""",89
"""CSH1""",492
"""CREBRF""",422
"""H2AC2P""",1
"""MIR4294""",1
"""TMOD4""",320
"""ACSS1""",634
"""NFIL3""",345
"""UST""",351
"""TAS2R9""",343
"""OR1N2""",351
"""RBBP4""",220
"""LINC02338""",1
"""MIR320A""",1
"""LINC02363""",1
"""TRAJ17""",30
"""LINC02010""",2
"""FANCD2""",1230
"""LINC02715""",7
"""SLC14A2""",990
"""SYT4""",462
"""MIR1225""",1
"""C16orf96""",1129
"""PCK1""",717
"""RIMS4""",184
"""RAB9B""",102
"""CYRIB""",364
"""WDR44""",480
"""INSM2""",554
"""RAPGEF4""",892
"""SEMA6D""",1072
"""TUBGCP5""",954
"""DUX4L9""",1
"""HEMGN""",469
"""LINC02159""",2
"""LINC02217""",3
"""ZFP3""",383
"""GAPLINC""",2
"""SCARA3""",608
"""CREB3L1""",507
"""CHRNB3""",440
"""WDR76""",557
"""COL2A1""",1364
"""PDE4DIPP4""",1
"""LINC00474""",2
"""TAF11L11""",206
"""PRAMEF17""",494
"""MCHR2-AS1""",1
"""DHODH""",445
"""LINC01711""",1
"""ZNF852""",535
"""LINC00893""",1
"""ADRA2B""",493
"""HEATR4""",989
"""KANK2""",953
"""OR9G4""",312
"""C10orf95""",235
"""MACROD2""",473
"""SEC22A""",306
"""DPY19L2P1""",2
"""LY6G5B""",207
"""MIR4671""",1
"""ETNK2""",460
"""ASB15""",610
"""NEUROD1""",401
"""MIR6888""",1
"""ADRA1B""",471
"""CDKL5""",794
"""ECSIT""",537
"""LINC01829""",1
"""PDK3""",197
"""GNRHR2""",5
"""SPDYE9""",21
"""BCL2L14""",423
"""ATP23""",233
"""SCYGR1""",62
"""LIN54""",464
"""ELF2""",498
"""CSNK1G1""",453
"""DTX4""",545
"""SFXN4""",329
"""ZFYVE16""",1410
"""MIR4796""",1
"""ANXA6""",672
"""KDM2B-DT""",3
"""LINC01933""",1
"""SNORA74B""",1
"""TAGLN3""",230
"""PRAMEF6""",589
"""DHX38""",1074
"""STRA6""",888
"""ZNF256""",584
"""LINC02052""",1
"""VPS4A""",305
"""ARF4""",96
"""OSMR""",967
"""KCTD5""",245
"""DEFA5""",159
"""KAZN-AS1""",1
"""LAMP2""",356
"""EFL1P1""",1
"""TRBV7-6""",162
"""ANKRD20A11P""",1
"""IGHE""",582
"""IGKV1-37""",62
"""C1R""",510
"""LINC02844""",1
"""SELENBP1""",554
"""LINC02290""",11
"""GCK""",589
"""MIR320B1""",1
"""DUX4L5""",1
"""ATR""",1800
"""EFCAB3""",424
"""TCP10L""",241
"""AMIGO3""",590
"""INHBC""",312
"""EFHD1""",255
"""MIR520G""",1
"""LINC02579""",1
"""HMGN2""",80
"""IGKV3D-15""",181
"""MIR1302-2""",1
"""CACNA1E""",1990
"""MIR3663HG""",2
"""SLFNL1""",478
"""EML2-AS1""",2
"""MIR6773""",1
"""SLC25A3P1""",1
"""LYPD1""",159
"""SRPRB""",259
"""OR7A17""",354
"""WASL-DT""",1
"""ING1""",504
"""NPFF""",113
"""ATP2B2-IT2""",1
"""UTF1""",332
"""IMPG1""",970
"""PACRG-AS3""",1
"""FGF16""",105
"""C6orf62""",175
"""CXorf65""",140
"""DMWD""",714
"""DDAH1""",255
"""GNG13""",79
"""TUSC1""",294
"""CDK16""",381
"""GLA""",640
"""MIR1324""",1
"""ATM""",5125
"""TSPY8""",66
"""SNRPC""",105
"""DDX10""",847
"""FKBP6""",345
"""UCKL1-AS1""",1
"""MIR494""",1
"""CENPB""",462
"""OR6K3""",410
"""IGFBPL1""",299
"""C22orf31""",302
"""HSF5""",442
"""SALRNA1""",1
"""RAD17""",601
"""CYP1A1""",583
"""BAIAP2L1""",468
"""CCR5AS""",1
"""LACTBL1""",398
"""TBX18-AS1""",3
"""LINC02196""",1
"""ANO7""",1161
"""CYTOR""",5
"""NOS2""",1090
"""C17orf50""",284
"""TAF11L3""",57
"""LINC00251""",1
"""IDO2""",466
"""XAGE3""",99
"""SFT2D1""",149
"""NHS-AS1""",1
"""GRM2""",749
"""LINC02801""",1
"""TMEM156""",310
"""CADPS2""",1176
"""SCARNA21B""",1
"""ZNF217""",957
"""LINC02899""",1
"""ZFAND4""",824
"""SWSAP1""",272
"""LINC01571""",1
"""ERVPABLB-1""",1
"""TRPM4""",1474
"""GFOD2""",434
"""OR4D2""",331
"""MIR641""",1
"""FGL2""",395
"""MPPED1""",258
"""CLASP1""",1201
"""FN3K""",330
"""MTHFSD""",639
"""NCK2""",370
"""CACNB1""",584
"""CLRN1""",377
"""GABBR2""",575
"""ZKSCAN7-AS1""",1
"""STIM1""",713
"""STARD6""",246
"""KBTBD3""",555
"""SLC25A27""",289
"""SNORD56B""",1
"""PIGG""",1152
"""ZSWIM4""",1030
"""ODAD4""",564
"""STOML2""",293
"""PRDX6-AS1""",1
"""MT-ATP8""",1
"""ZNF692""",613
"""SNORA93""",1
"""LINC01430""",1
"""ALDH7A1""",620
"""KCNAB3""",448
"""GCKR""",708
"""SLC35A4""",379
"""SALRNA3""",1
"""MGAT4B""",732
"""NUP93-DT""",2
"""OR3A3""",314
"""SON""",2161
"""LINC02135""",1
"""CBR4""",267
"""CD63""",253
"""PI4KAP1""",2
"""MIR551A""",1
"""LINC00643""",2
"""KCNIP2""",308
"""MSRB3""",289
"""CBLC""",451
"""LEUTX""",178
"""HILPDA""",49
"""GAL""",152
"""HSD11B1""",254
"""GNPDA2""",254
"""CBWD6""",372
"""OR3A2""",349
"""ZNF497-AS1""",1
"""S100A4""",97
"""SLC24A3""",503
"""ANXA2R""",197
"""FAM243A""",136
"""PHEX-AS1""",1
"""ASAH1""",879
"""FAHD2B""",310
"""TRIM26""",358
"""DEFT1P2""",1
"""FMO3""",599
"""IGKC""",106
"""TBX2-AS1""",3
"""TRANK1""",2543
"""SNORA108""",1
"""ALX3""",295
"""CASD1""",624
"""SEMA5B""",1325
"""ZNF534""",894
"""SNORD125""",1
"""MIR6742""",1
"""OR51A4""",423
"""DOK7""",1007
"""DNA2""",921
"""ABCC9""",1261
"""OR2I1P""",162
"""SNORD82""",1
"""ANKRD26P3""",1
"""MIR6797""",1
"""ANKRD20A5P""",2
"""KCNJ16""",471
"""SNRPN""",257
"""COMP""",776
"""SNHG4""",2
"""H3-3A""",66
"""NR1H4""",555
"""RAD51""",282
"""GLO1""",181
"""HLA-DRB2""",8
"""ABCB1""",1357
"""KIRREL3""",716
"""ZNF483""",589
"""KMT2C""",4561
"""C10orf88""",3
"""LONP1""",1142
"""LINC00680""",6
"""LINC01413""",1
"""SEMA3E""",624
"""TCF7L2""",747
"""LINC02619""",2
"""RNU1-4""",1
"""ELOA""",645
"""SLC26A11""",730
"""ANXA2""",445
"""LINC01206""",1
"""ANK2""",4034
"""MIR4798""",1
"""MIR6501""",1
"""AKR1C2""",367
"""CREB3L4""",398
"""PIGV""",486
"""ZNF160""",805
"""RYR3""",4704
"""SCARB2""",465
"""CNKSR3""",515
"""PCDHGB7""",944
"""PPEF1-AS1""",1
"""DAP3""",444
"""RANBP3""",550
"""FMC1-LUC7L2""",2
"""MYO18A""",2346
"""PDILT""",692
"""H3C6""",5
"""GRAP""",190
"""NETO2""",430
"""GNB4""",282
"""TBC1D7""",387
"""LINC01907""",1
"""GCAWKR""",8
"""SLC47A1""",643
"""ZNF789""",463
"""TCTA""",113
"""TAS2R7""",350
"""BST1""",397
"""ZFX""",460
"""DRICH1""",253
"""MAFB""",276
"""MIR3688-1""",1
"""KRT34""",478
"""BMPR1B""",529
"""LINC02348""",1
"""MIR1587""",1
"""ACOX1""",563
"""AK5""",497
"""MIR3139""",1
"""EGFR-AS1""",1
"""ALAS2""",282
"""SNORA111""",1
"""TIMP3""",157
"""EIF2S2""",170
"""TTLL11""",685
"""KRT17P1""",1
"""UGT2B10""",727
"""ANOS1""",486
"""TMEM176B""",320
"""UBOX5""",473
"""OVCH2""",591
"""SAMHD1""",601
"""MIR320B2""",1
"""GUCA1B""",191
"""CDK3""",266
"""NDUFS6""",250
"""DYNC1LI2""",376
"""LINC02078""",1
"""TRDV2""",105
"""DNAAF6""",130
"""RNF17""",1416
"""DONSON""",531
"""RNU2-1""",1
"""MRPS30-DT""",4
"""LINC02071""",1
"""PER3""",1342
"""C17orf97""",292
"""TENT4A""",559
"""LMX1A-AS1""",1
"""SNORD13D""",1
"""STAG2""",617
"""EFCAB5""",1385
"""FAM89B""",167
"""MIR7974""",1
"""FAM86B3P""",3
"""ATP5ME""",90
"""NEUROG2""",287
"""GTPBP10""",406
"""NFE2L2""",563
"""UBTFL6""",1
"""CTSZ""",311
"""LINC02891""",1
"""LY6G6C""",113
"""KRTAP6-1""",96
"""SNORA80B""",1
"""LINC00492""",1
"""CD28""",224
"""IKZF5""",280
"""KLHL28""",407
"""LBHD2""",70
"""TTC3""",1890
"""TAGLN""",192
"""F8A3""",70
"""LINC00486""",3
"""LINC01160""",1
"""CNGA4""",654
"""LINC02145""",1
"""SECISBP2""",870
"""SPATA2L""",488
"""MIR5189""",1
"""ZNF445""",841
"""TMEM252""",183
"""FBXL15""",323
"""DNAJC17""",394
"""DEFA11P""",1
"""ACSF2""",595
"""FBXO21""",449
"""RASL10B""",181
"""ERVK-8""",6
"""FUT8-AS1""",1
"""H2AC17""",833
"""MIR4317""",1
"""APCDD1L""",604
"""CARS2""",731
"""MICU2""",463
"""LINC01036""",1
"""MIR339""",1
"""NUDT7""",403
"""USP6""",1447
"""LINC01050""",1
"""LINC01992""",1
"""GGTLC2""",350
"""HSPD1""",442
"""MIR3617""",1
"""PRB2""",791
"""PTPRCAP""",219
"""ERLNC1""",1
"""MIR130A""",1
"""PACRG""",395
"""PSTPIP1""",709
"""SNORD67""",1
"""MIR4283-1""",1
"""KAT14""",792
"""RAB31""",193
"""PAQR6""",579
"""STRN3""",646
"""TIMM23B""",111
"""ATG2A""",1872
"""CWC15""",142
"""FBRS""",946
"""ZNF708""",647
"""CHRNA6""",476
"""LINC02140""",3
"""IFNGR1""",493
"""KIF18A""",730
"""HMCN1""",5322
"""AXDND1""",1081
"""GREM2""",182
"""IGHD1-1""",13
"""PWWP2A""",639
"""H2AZ1-DT""",1
"""ECEL1P2""",1
"""CDKN2C""",140
"""PPIL2""",507
"""BCKDHA""",525
"""CCDC134""",225
"""UXT-AS1""",1
"""IDH3G""",286
"""ZC3H4""",1295
"""MIR3713""",1
"""RPS27A""",127
"""ASB9P1""",1
"""PRKD2""",693
"""SCNM1""",233
"""GALNTL6""",575
"""RGS9BP""",248
"""ZFHX3""",3769
"""MIR4726""",1
"""H3C11""",3
"""PTPN3""",901
"""SNORA70""",1
"""MT1A""",61
"""FHIP1B""",14
"""ARHGAP20""",1033
"""LMOD2""",560
"""CD53""",193
"""MCF2""",773
"""TMEM273""",341
"""UQCRB""",203
"""PRAMEF25""",200
"""NKX3-2""",407
"""SNRPD2P2""",1
"""LINC02323""",1
"""BARHL2""",411
"""ACADL""",400
"""DGKA""",621
"""LINC02409""",1
"""DCLRE1B""",432
"""CISD2""",150
"""RGS7""",521
"""CEP68""",813
"""PHF5A""",24
"""MYCBPAP""",1110
"""STAM2""",463
"""SNORD88B""",1
"""SAMD13""",117
"""MVP""",821
"""DDX11L17""",1
"""ICAM4""",342
"""EVC2""",1584
"""TSNAX""",205
"""LINC02429""",2
"""RREB1""",1983
"""PLXNA2""",1642
"""B3GNT3""",348
"""MIR10525""",1
"""GGACT""",177
"""CLEC14A""",596
"""TNNT3""",373
"""LINC01915""",1
"""ZNF879""",493
"""IGKV3-20""",514
"""CHMP5""",168
"""SNCA""",182
"""LINC00624""",1
"""ARHGAP28""",724
"""LINC01003""",1
"""LINC01586""",2
"""LARP1B""",1055
"""KRT18P55""",1
"""BOD1""",189
"""HEY1""",340
"""UBL5""",44
"""HMGN1""",197
"""ZNF74""",824
"""H4C1""",3
"""PPT1""",429
"""UTP3""",382
"""SMIM1""",80
"""GCC2-AS1""",1
"""MIR3166""",1
"""FBXO38""",871
"""IP6K3""",430
"""GOLGA4-AS1""",1
"""ARF3""",87
"""BMX""",424
"""MIR4309""",1
"""METTL15P1""",1
"""KRT87P""",2
"""LRRC57""",184
"""LINC01060""",1
"""LINC01963""",1
"""LINC02291""",1
"""SLC24A5""",521
"""GOLGA6B""",585
"""MIR4723""",1
"""LAPTM4A""",228
"""PAIP1""",420
"""TRPM2-AS""",1
"""GBA2""",878
"""IGLV2-33""",121
"""RNF11""",99
"""IGHV3-15""",404
"""BDH2""",248
"""KIR3DX1""",10
"""NRG3""",968
"""MT-ND1""",1
"""RNF135""",473
"""ZNF415""",773
"""ZNF286A""",484
"""ABHD3""",432
"""CFAP44-AS1""",1
"""KCNH6""",1167
"""VPS37D""",242
"""MUC12""",6323
"""LINC01837""",24
"""MIR924HG""",1
"""VILL""",846
"""SH3PXD2A-AS1""",1
"""OR8H1""",459
"""LEF1""",405
"""CUL1""",376
"""COL26A1""",503
"""POLR1A""",1278
"""ZNF365""",414
"""NAA10""",152
"""SOCS2-AS1""",1
"""HNRNPCL3""",127
"""MTX1""",413
"""CPXM2""",875
"""ADGRG6""",1103
"""ITSN2""",1491
"""OR1L4""",377
"""FXR2""",501
"""LINC01777""",1
"""SHISAL1""",226
"""OR4F6""",368
"""MIR4749""",1
"""ELP4""",763
"""NDUFS4""",268
"""MORN3""",276
"""PISRT1""",1
"""TRAV36DV7""",134
"""MYHAS""",1
"""NDUFAF1""",403
"""LRP5""",1589
"""NSUN3""",306
"""FAM169A""",525
"""NOVA1""",515
"""ZBTB4""",885
"""BMF""",175
"""PVALB""",118
"""TNFRSF12A""",307
"""ZNF519""",604
"""HSPB2""",188
"""IL13""",150
"""LINC02529""",1
"""UPK3A""",321
"""MIR6715A""",1
"""STK17A""",361
"""DMRTC2""",435
"""B3GNT9""",457
"""CHD3""",1512
"""LINC00898""",1
"""NOC2L""",930
"""ANKRD30B""",1605
"""ZMYM1""",886
"""SNORD116-14""",1
"""ZNF268""",1067
"""PLCL1""",1002
"""SELENOH""",165
"""FAHD2CP""",1
"""NORAD""",1
"""RABL2B""",289
"""TTTY6""",1
"""TRBV24-1""",131
"""LINC01136""",2
"""COMMD2""",203
"""SERPINB5""",365
"""N4BP2""",1526
"""MAN1C1""",601
"""PNMA1""",337
"""MIA2""",1592
"""LINC01713""",1
"""ZNF613""",595
"""BORCS8-MEF2B""",325
"""CXCL6""",147
"""FRMD8""",502
"""ITGB1-DT""",2
"""LAX1""",386
"""LINC02264""",1
"""CDC42BPG""",1561
"""PCBD1""",82
"""COL4A5""",1629
"""TRAPPC3L""",155
"""SGSM1""",1002
"""SPIN3""",204
"""AMDHD1""",492
"""NADK""",629
"""CENPBD1""",27
"""MPPE1""",477
"""PAGE4""",97
"""ENPP7""",548
"""FAM167A-AS1""",2
"""HASPIN""",757
"""LINC01720""",1
"""ARHGAP9""",876
"""TM2D1""",326
"""BAHCC1""",2812
"""FAM41AY2""",1
"""BPGM""",228
"""F12""",607
"""COL13A1""",943
"""LINC01674""",1
"""MYORG""",903
"""CACNA1D""",1658
"""RUNDC3B""",443
"""DUSP3""",187
"""B3GALT1""",249
"""AQP9""",370
"""OR51D1""",386
"""ST8SIA6-AS1""",1
"""SAMD3""",578
"""IRAK3""",627
"""MARCHF1""",473
"""LINC01444""",1
"""LCLAT1""",493
"""SLC38A3""",395
"""TMEM275""",109
"""OPN1SW""",362
"""MIR6856""",1
"""PNRC1""",323
"""TERF1""",419
"""CCL28""",125
"""CHCHD6""",309
"""TRAIP""",403
"""LINC02086""",2
"""POMC""",380
"""OR7G1""",321
"""SNAR-C2""",1
"""MEX3A""",378
"""SNORA22B""",1
"""NME1-NME2""",252
"""BCKDK""",444
"""MIR5700""",1
"""MIR4328""",1
"""NEMP2""",322
"""P2RX5-TAX1BP3""",1
"""OPN1MW""",116
"""BRD3""",574
"""MIR6079""",1
"""MIAT""",4
"""SSUH2""",807
"""TRBV19""",128
"""NFATC1""",1175
"""HYMAI""",1
"""ODR4""",366
"""SNORA19""",1
"""LINC00842""",1
"""ARRDC1-AS1""",3
"""YPEL1""",100
"""MIR4643""",1
"""C5orf24""",169
"""LINC00278""",1
"""MYO1B""",883
"""TECTB""",351
"""GOLGA6L5P""",1
"""LINC00271""",6
"""SPECC1""",1176
"""TIAF1""",112
"""MIR4645""",1
"""CTSB""",928
"""RPF1""",335
"""BEND7""",518
"""ZNF347""",939
"""RAP2A""",77
"""TEX33""",306
"""CHEK2""",1260
"""PIP5K1C""",698
"""CABCOCO1""",278
"""ADGRE1""",944
"""ARMC3""",864
"""MIR4478""",1
