n.id,numberOfConnectedEdges
"""NHS""",1131
"""RNF38""",433
"""ZYG11B""",394
"""JMJD7-PLA2G4B""",92
"""SPAG16-DT""",2
"""PRKAR1B-AS2""",1
"""SLC4A10""",920
"""EDAR""",481
"""YDJC""",354
"""TET1""",1770
"""C1orf127""",818
"""TPM1""",627
"""BZW1-AS1""",1
"""MIR6127""",1
"""POU4F1""",320
"""MAT2B""",279
"""CNKSR2""",631
"""MXI1""",297
"""PI3""",121
"""MOB3A""",259
"""CALY""",273
"""MIR330""",1
"""FZD1""",577
"""DHCR7""",729
"""ACADM""",545
"""PLA2G15""",513
"""FAM161A""",753
"""KIN""",341
"""LANCL2""",429
"""ANXA2P2""",2
"""IL22RA2""",280
"""LINC01648""",1
"""CISD1""",86
"""PRAF2""",140
"""NUDT19""",524
"""LINC01512""",1
"""ANKRD62P1-PARP4P3""",1
"""TNFSF14""",247
"""USP6NL-AS1""",1
"""KRTAP20-2""",75
"""LY6G6F-LY6G6D""",3
"""CLTB""",243
"""TYRO3P""",1
"""SPRED1""",404
"""MIR340""",1
"""FAM3D""",306
"""OR2J2""",354
"""CEBPZOS""",91
"""MSH5-SAPCD1""",566
"""ANKDD1A""",546
"""SEPTIN4""",1030
"""LINC02067""",1
"""RASSF8""",379
"""SERPIND1""",505
"""SLC6A12-AS1""",1
"""NPSR1""",545
"""SLC12A5""",1037
"""GIPC1""",378
"""MIR3940""",1
"""MIOS-DT""",1
"""LINC02261""",1
"""PAWR""",362
"""MIR6802""",1
"""SLC9A3-AS1""",1
"""RAC1""",117
"""MRPL15""",282
"""PDIA5""",466
"""MANEAL""",456
"""PDZK1""",403
"""VPS13A""",2675
"""MIR5100""",1
"""SDF4""",475
"""STIM2-AS1""",3
"""LINC02428""",1
"""MAP7D1""",869
"""MIR370""",1
"""H4C15""",14
"""WNT8A""",340
"""RHOXF1""",172
"""STOML3""",332
"""YARS2""",457
"""CNTLN""",1656
"""LEMD1""",203
"""MIR548A3""",1
"""ACOX2""",651
"""MAILR""",2
"""RAB5IF""",202
"""PADI4""",752
"""KIAA0930""",503
"""CRLF2""",423
"""SLC35G6""",337
"""LSM7""",94
"""TCN1""",452
"""MIR6071""",1
"""SPACA3""",237
"""LINC02238""",1
"""MIR541""",1
"""IGHV1OR21-1""",408
"""MLNR""",435
"""MIR4290""",1
"""MRGPRG-AS1""",2
"""NOL4L""",620
"""MIPOL1""",575
"""MAGEE1""",795
"""TIMM9""",86
"""FAM181A""",347
"""MISP3""",333
"""PCIF1""",588
"""ZDHHC3""",363
"""PADI1""",759
"""CCDC186""",649
"""TSSK4""",309
"""KRTAP3-2""",119
"""MIR4801""",1
"""RHBDD2""",377
"""SLC1A5""",503
"""EPHX4""",300
"""MIR6868""",1
"""LINC02682""",5
"""MIR130B""",1
"""PNMA5""",336
"""ASTN2""",1442
"""SSX3""",225
"""EPS15""",774
"""IFNA4""",239
"""RBAK-RBAKDN""",250
"""POMT2""",911
"""SNORD116-8""",1
"""LINC01507""",2
"""MIR548M""",1
"""FSBP""",209
"""TRABD2A""",513
"""RASD1""",281
"""VAV3-AS1""",1
"""LINC01847""",1
"""CNPY1""",173
"""GNA11""",250
"""PDSS2""",371
"""LGMN""",495
"""FAM47B""",745
"""SYCE3""",62
"""KIF14""",1408
"""ZFP2""",469
"""SPESP1""",340
"""NOMO1""",999
"""ARHGAP22-IT1""",1
"""CRLS1""",258
"""CHST14""",361
"""KCNK10""",543
"""LINC02329""",1
"""EEF1G""",302
"""SPTA1""",2250
"""MIR3657""",1
"""CELSR1""",3161
"""IL23R""",548
"""PCBP2-OT1""",1
"""GTPBP1""",591
"""ZBTB20-AS1""",1
"""JAG1""",1026
"""SIRPG""",484
"""THAP2""",232
"""CACNA1C-AS4""",1
"""XGY2""",1
"""PKP1""",829
"""NRDE2""",1109
"""PSG8-AS1""",1
"""TMEM59""",325
"""LINC02439""",1
"""UNC45B""",1023
"""LRRC37A3""",1406
"""NCL""",719
"""LINC00904""",1
"""ATP2C1""",659
"""ZNF596""",722
"""SERF2""",248
"""YAE1""",314
"""IGLV3-27""",190
"""SNORA74C-1""",1
"""GGT6""",527
"""PCSK9""",809
"""CRPPA-AS1""",2
"""DCAF8L2""",548
"""DENND5A""",1293
"""MIR1301""",1
"""NQO1""",264
"""NLGN4Y""",329
"""OPRD1""",390
"""RNVU1-14""",1
